total_hardening_effort,one_implementation,two_implementations,four_implementations
13.75,0.010000042281078798,0.0010982006297296082,0.0006210534420102834
13.8,0.010000040219006252,0.0010979977482005652,0.0006189121809174599
13.85,0.010000038257502172,0.0010977998956966065,0.0006168030902101897
13.9,0.010000036391661773,0.001097606947081966,0.0006147256266472465
13.95,0.010000034616819484,0.0010974187803577335,0.0006126792575004194
14.0,0.010000032928537277,0.0010972352765821025,0.00061066346032311
14.05,0.010000031322593564,0.0010970563197926987,0.0006086777227245743
14.1,0.010000029794972649,0.0010968817969309313,0.0006067215421496563
14.15,0.010000028341854686,0.0010967115977683164,0.0006047944256638745
14.2,0.010000026959606122,0.001096545614834715,0.000602895889743716
14.25,0.010000025644770616,0.0010963837433484336,0.0006010254600720073
14.3,0.010000024394060395,0.0010962258811481407,0.0005991826713382251
14.35,0.010000023204348032,0.0010960719286265451,0.0005973670670436189
14.4,0.010000022072658623,0.0010959217886657927,0.0005955781993110225
14.45,0.01000002099616236,0.0010957753665745325,0.0005938156286992301
14.5,0.010000019972167437,0.0010956325700266082,0.0005920789240218189
14.55,0.010000018998113338,0.001095493309001333,0.0005903676621703055
14.6,0.010000018071564417,0.0010953574957253023,0.0005886814279415188
14.65,0.010000017190203821,0.001095225044615704,0.0005870198138690857
14.7,0.010000016351827687,0.001095095872225091,0.0005853824200589212
14.75,0.010000015554339641,0.001094969897187568,0.0005837688540286193
14.8,0.010000014795745546,0.001094847040166364,0.0005821787305506446
14.85,0.01000001407414852,0.001094727223802748,0.0005806116714992295
